Frequency (Hz)	Level (dB)
597.546387	-31.358547
598.892212	-31.334105
600.238037	-30.886522
601.583862	-31.737041
602.929688	-31.418337
604.275513	-31.248917
605.621338	-31.870401
606.967163	-33.652065
608.312988	-33.262783
609.658813	-32.148643
611.004639	-31.217512
612.350464	-32.227982
613.696289	-33.232632
615.042114	-33.133900
616.387939	-32.374104
617.733765	-32.818977
619.079590	-33.355610
620.425415	-32.807915
621.771240	-31.405682
623.117065	-31.517071
624.462891	-33.270943
625.808716	-33.260548
627.154541	-32.170456
628.500366	-31.656231
629.846191	-32.297024
631.192017	-33.115967
632.537842	-33.502396
633.883667	-32.989723
635.229492	-32.951607
636.575317	-33.471817
637.921143	-34.025894
639.266968	-32.818905
640.612793	-32.907608
641.958618	-33.813736
643.304443	-33.568676
644.650269	-33.712006
645.996094	-34.307903
647.341919	-33.904160
648.687744	-33.907322
650.033569	-34.865635
651.379395	-35.449291
652.725220	-35.650928
654.071045	-36.274929
655.416870	-35.229950
656.762695	-34.831585
658.108521	-34.536434
659.454346	-35.469955
660.800171	-35.172726
662.145996	-34.342796
663.491821	-34.559795
664.837646	-35.045933
666.183472	-34.555458
667.529297	-33.774582
668.875122	-34.641861
670.220947	-34.911190
671.566772	-34.531731
672.912598	-35.339001
674.258423	-36.072678
675.604248	-36.450771
676.950073	-35.739487
678.295898	-36.883644
679.641724	-36.960472
680.987549	-36.085003
682.333374	-36.591133
683.679199	-36.796085
685.025024	-36.339718
686.370850	-35.829567
687.716675	-36.505722
689.062500	-37.334431
690.408325	-36.105373
691.754150	-36.175457
693.099976	-37.417492
694.445801	-36.443893
695.791626	-37.198547
697.137451	-37.616753
698.483276	-36.874519
699.829102	-37.666435
701.174927	-37.698250
702.520752	-37.112644
703.866577	-37.762566
705.212402	-37.327015
706.558228	-36.857361
707.904053	-37.552227
709.249878	-37.824940
710.595703	-38.075611
711.941528	-39.525135
713.287354	-39.359356
714.633179	-38.486759
715.979004	-38.437588
717.324829	-39.734718
718.670654	-39.745399
720.016479	-39.825813
721.362305	-39.500252
722.708130	-38.864384
724.053955	-39.061592
725.399780	-38.742638
726.745605	-38.538109
728.091431	-38.210213
729.437256	-38.803665
730.783081	-39.367088
732.128906	-40.221458
733.474731	-39.253391
734.820557	-39.021603
736.166382	-39.450962
737.512207	-40.355751
738.858032	-40.795200
740.203857	-39.558411
741.549683	-39.797764
742.895508	-39.831184
744.241333	-40.233105
745.587158	-41.636929
746.932983	-40.586510
748.278809	-40.025837
749.624634	-38.888260
750.970459	-39.139065
752.316284	-40.589790
753.662109	-41.100456
755.007935	-41.235249
756.353760	-41.042358
757.699585	-40.545902
759.045410	-40.803795
760.391235	-40.859634
761.737061	-41.093136
763.082886	-41.904194
764.428711	-40.214607
765.774536	-40.861176
767.120361	-41.841404
768.466187	-40.766911
769.812012	-40.326374
771.157837	-40.790611
772.503662	-41.174217
773.849487	-41.090496
775.195312	-41.367420
776.541138	-41.033665
777.886963	-40.354076
779.232788	-40.969887
780.578613	-41.437603
781.924438	-42.652538
783.270264	-42.927166
784.616089	-41.887966
785.961914	-42.747803
787.307739	-42.207577
788.653564	-42.648422
789.999390	-42.025818
791.345215	-41.486153
792.691040	-41.382919
794.036865	-43.200352
795.382690	-43.660702
796.728516	-42.855442
798.074341	-41.579212
799.420166	-40.846153
800.765991	-40.831104
802.111816	-41.863972
803.457642	-41.451893
804.803467	-41.973209
806.149292	-41.644073
807.495117	-41.269714
808.840942	-41.714535
810.186768	-41.709583
811.532593	-42.452789
812.878418	-43.417728
814.224243	-42.487812
815.570068	-42.026024
816.915894	-41.362743
818.261719	-41.721004
819.607544	-42.457199
820.953369	-42.673874
822.299194	-43.042122
823.645020	-42.545982
824.990845	-42.226540
826.336670	-42.414757
827.682495	-43.467052
829.028320	-43.183167
830.374146	-42.543289
831.719971	-42.217548
833.065796	-42.961216
834.411621	-42.139076
835.757446	-42.397285
837.103271	-43.030571
838.449097	-42.948643
839.794922	-42.860035
841.140747	-43.050274
842.486572	-43.132668
843.832397	-42.593929
845.178223	-43.444996
846.524048	-42.885933
847.869873	-42.503490
849.215698	-42.125290
850.561523	-42.782265
851.907349	-44.598454
853.253174	-44.358845
854.598999	-43.257664
855.944824	-42.691334
857.290649	-43.477688
858.636475	-43.581837
859.982300	-43.174004
861.328125	-43.350266
862.673950	-43.970028
864.019775	-43.433067
865.365601	-43.707840
866.711426	-44.780304
868.057251	-44.573032
869.403076	-45.212875
870.748901	-43.975960
872.094727	-44.485718
873.440552	-44.070145
874.786377	-43.343060
876.132202	-44.322296
877.478027	-45.090134
878.823853	-44.385414
880.169678	-43.194382
881.515503	-43.665611
882.861328	-44.373001
884.207153	-44.846130
885.552979	-45.018463
886.898804	-45.987453
888.244629	-45.504810
889.590454	-44.580509
890.936279	-44.419277
892.282104	-45.028595
893.627930	-45.117401
894.973755	-45.388126
896.319580	-46.410152
897.665405	-45.051197
899.011230	-44.814709
900.357056	-45.685074
901.702881	-46.965950
903.048706	-46.229610
904.394531	-45.887821
905.740356	-45.529644
907.086182	-45.266411
908.432007	-45.041565
909.777832	-45.255062
911.123657	-46.920349
912.469482	-46.638153
913.815308	-45.147411
915.161133	-45.488384
916.506958	-46.529690
917.852783	-46.675911
919.198608	-45.884525
920.544434	-46.102032
921.890259	-45.533306
923.236084	-45.105022
924.581909	-45.091141
925.927734	-45.448288
927.273560	-46.101231
928.619385	-45.586777
929.965210	-45.808052
931.311035	-45.730602
932.656860	-46.441338
934.002686	-45.069893
935.348511	-44.916580
936.694336	-46.090679
938.040161	-45.560017
939.385986	-45.489544
940.731812	-45.671116
942.077637	-46.157818
943.423462	-46.271317
944.769287	-44.474480
946.115112	-45.019966
947.460938	-44.826679
948.806763	-44.763508
950.152588	-45.161648
951.498413	-45.977486
952.844238	-44.318676
954.190063	-45.727741
955.535889	-45.662598
956.881714	-45.106411
958.227539	-46.667267
959.573364	-46.257904
960.919189	-45.830246
962.265015	-46.022606
963.610840	-46.056049
964.956665	-46.207500
966.302490	-45.652584
967.648315	-45.487617
968.994141	-46.655205
970.339966	-46.348091
971.685791	-46.401360
973.031616	-44.828438
974.377441	-45.106277
975.723267	-46.361725
977.069092	-46.573647
978.414917	-46.157253
979.760742	-47.204800
981.106567	-47.172382
982.452393	-45.495621
983.798218	-45.912556
985.144043	-45.736122
986.489868	-45.943771
987.835693	-46.621571
989.181519	-46.915432
990.527344	-47.281998
991.873169	-48.144768
993.218994	-47.667698
994.564819	-47.009335
995.910645	-48.188541
997.256470	-48.786697
998.602295	-47.210434
999.948120	-46.526134
1001.293945	-47.398109
1002.639771	-47.519943
1003.985596	-46.612961
1005.331421	-47.321228
1006.677246	-47.058395
1008.023071	-46.252300
1009.368896	-46.656502
1010.714722	-47.286575
1012.060547	-46.932953
1013.406372	-47.216026
1014.752197	-46.246174
1016.098022	-46.392529
1017.443848	-47.472832
1018.789673	-48.613701
1020.135498	-48.334736
1021.481323	-47.673336
1022.827148	-47.991638
1024.172974	-48.827999
1025.518799	-48.669685
1026.864624	-48.197258
1028.210449	-46.786865
1029.556274	-46.650848
1030.902100	-48.051830
1032.247925	-48.599548
1033.593750	-48.241196
1034.939575	-48.247272
1036.285400	-48.022949
1037.631226	-48.026619
1038.977051	-48.041214
1040.322876	-47.324013
1041.668701	-48.087055
1043.014526	-47.620476
1044.360352	-47.632725
1045.706177	-47.732643
1047.052002	-48.244713
1048.397827	-47.689857
1049.743652	-47.899784
1051.089478	-47.284702
1052.435303	-48.305092
1053.781128	-48.423424
1055.126953	-48.025799
1056.472778	-48.645977
1057.818604	-49.029030
1059.164429	-49.832603
1060.510254	-48.178448
1061.856079	-47.552326
1063.201904	-47.964027
1064.547729	-47.731518
1065.893555	-49.140919
1067.239380	-49.357944
1068.585205	-48.316189
1069.931030	-49.286839
1071.276855	-49.531822
1072.622681	-49.378738
1073.968506	-48.650349
1075.314331	-49.662178
1076.660156	-48.962261
1078.005981	-48.835102
1079.351807	-49.043983
1080.697632	-48.141197
1082.043457	-47.883404
1083.389282	-48.433807
1084.735107	-48.509777
1086.080933	-49.463524
1087.426758	-49.690155
1088.772583	-50.301498
1090.118408	-50.329811
1091.464233	-49.193394
1092.810059	-47.944916
1094.155884	-48.388275
1095.501709	-49.464989
1096.847534	-49.598412
1098.193359	-49.750359
1099.539185	-49.109474
1100.885010	-48.760784
1102.230835	-48.893726
1103.576660	-49.186367
1104.922485	-50.512302
1106.268311	-50.551983
1107.614136	-49.523769
1108.959961	-48.246616
1110.305786	-48.686909
1111.651611	-48.770748
1112.997437	-49.385887
1114.343262	-50.242916
1115.689087	-48.321358
1117.034912	-48.235252
1118.380737	-49.408119
1119.726562	-50.216976
1121.072388	-49.990376
1122.418213	-49.392155
1123.764038	-49.911629
1125.109863	-50.881912
1126.455688	-51.330624
1127.801514	-49.409332
1129.147339	-49.892193
1130.493164	-49.880157
1131.838989	-50.513165
1133.184814	-49.684536
1134.530640	-50.213642
1135.876465	-50.034863
1137.222290	-50.590069
1138.568115	-51.876392
1139.913940	-50.650536
1141.259766	-51.117157
1142.605591	-50.953426
1143.951416	-49.577030
1145.297241	-49.292446
1146.643066	-49.606335
1147.988892	-50.270882
1149.334717	-50.270790
1150.680542	-50.830612
1152.026367	-50.839970
1153.372192	-50.199497
1154.718018	-49.982349
1156.063843	-50.599819
1157.409668	-50.321007
1158.755493	-51.614941
1160.101318	-51.602024
1161.447144	-50.266438
1162.792969	-50.945610
1164.138794	-51.773491
1165.484619	-51.358288
1166.830444	-50.826485
1168.176270	-51.015705
1169.522095	-51.758022
1170.867920	-51.891281
1172.213745	-50.854527
1173.559570	-50.572086
1174.905396	-51.182018
1176.251221	-51.886673
1177.597046	-51.176376
1178.942871	-50.612297
1180.288696	-51.053268
1181.634521	-51.631214
1182.980347	-51.333752
1184.326172	-51.703220
1185.671997	-51.556892
1187.017822	-52.005402
1188.363647	-51.611431
1189.709473	-50.804260
1191.055298	-50.871292
1192.401123	-51.685081
1193.746948	-51.576332
1195.092773	-51.835369
1196.438599	-52.107185
1197.784424	-50.915386
1199.130249	-51.070847
1200.476074	-52.167866
1201.821899	-52.232212
1203.167725	-51.416553
1204.513550	-50.765892
1205.859375	-51.505463
1207.205200	-52.602398
1208.551025	-51.111389
1209.896851	-51.721363
1211.242676	-52.218208
1212.588501	-50.705509
1213.934326	-51.471363
1215.280151	-52.326324
1216.625977	-51.720535
1217.971802	-51.544270
1219.317627	-52.885464
1220.663452	-52.538383
1222.009277	-52.526588
1223.355103	-52.221748
1224.700928	-53.839722
1226.046753	-53.090477
1227.392578	-51.601631
1228.738403	-52.534988
1230.084229	-53.676193
1231.430054	-52.588219
1232.775879	-51.919334
1234.121704	-52.831570
1235.467529	-52.346100
1236.813354	-51.862499
1238.159180	-51.970703
1239.505005	-53.673401
1240.850830	-53.449360
1242.196655	-52.668961
1243.542480	-54.010059
1244.888306	-55.293701
1246.234131	-53.524574
1247.579956	-53.968571
1248.925781	-51.949295
1250.271606	-53.359192
1251.617432	-52.473568
1252.963257	-52.722462
1254.309082	-53.818241
1255.654907	-53.622543
1257.000732	-53.479458
1258.346558	-53.647270
1259.692383	-53.829700
1261.038208	-54.189701
1262.384033	-54.157249
1263.729858	-54.315414
1265.075684	-52.949821
1266.421509	-51.938995
1267.767334	-54.319046
1269.113159	-53.857906
1270.458984	-51.738510
1271.804810	-51.993721
1273.150635	-53.251011
