Frequency (Hz)	Level (dB)
581.396484	-41.213612
582.742310	-40.913479
584.088135	-41.487530
585.433960	-43.543770
586.779785	-43.955521
588.125610	-42.619221
589.471436	-42.325699
590.817261	-42.612125
592.163086	-42.977795
593.508911	-43.015129
594.854736	-41.906242
596.200562	-41.533154
597.546387	-41.509483
598.892212	-41.533661
600.238037	-41.055069
601.583862	-41.747272
602.929688	-41.357536
604.275513	-41.319138
605.621338	-41.944107
606.967163	-43.651054
608.312988	-43.230900
609.658813	-42.093658
611.004639	-41.158310
612.350464	-42.158173
613.696289	-43.016975
615.042114	-42.879131
616.387939	-42.161785
617.733765	-42.570137
619.079590	-43.013779
620.425415	-42.388844
621.771240	-41.040329
623.117065	-41.082535
624.462891	-42.657845
625.808716	-42.581272
627.154541	-41.438721
628.500366	-40.887363
629.846191	-41.548161
631.192017	-42.258579
632.537842	-42.584621
633.883667	-42.038086
635.229492	-41.905075
636.575317	-42.439423
637.921143	-42.846245
639.266968	-41.597069
640.612793	-41.682148
641.958618	-42.377811
643.304443	-42.270786
644.650269	-42.167133
645.996094	-42.633762
647.341919	-42.215118
648.687744	-42.227020
650.033569	-43.171158
651.379395	-43.591175
652.725220	-43.680283
654.071045	-44.186024
655.416870	-43.197197
656.762695	-42.635948
658.108521	-42.290340
659.454346	-43.143337
660.800171	-42.802563
662.145996	-41.850590
663.491821	-41.962814
664.837646	-42.289021
666.183472	-41.786308
667.529297	-40.976833
668.875122	-41.692902
670.220947	-41.818886
671.566772	-41.448566
672.912598	-42.218208
674.258423	-42.815777
675.604248	-43.197853
676.950073	-42.298904
678.295898	-43.378025
679.641724	-43.237324
680.987549	-42.406841
682.333374	-42.760113
683.679199	-43.004414
685.025024	-42.440407
686.370850	-41.801769
687.716675	-42.392673
689.062500	-42.994179
690.408325	-41.768742
691.754150	-41.753689
693.099976	-42.971088
694.445801	-41.819206
695.791626	-42.624405
697.137451	-42.902321
698.483276	-41.976360
699.829102	-42.555035
701.174927	-42.608566
702.520752	-41.956581
703.866577	-42.613304
705.212402	-41.982189
706.558228	-41.320213
707.904053	-41.963551
709.249878	-42.156982
710.595703	-42.219254
711.941528	-43.501183
713.287354	-43.416229
714.633179	-42.399353
715.979004	-42.293373
717.324829	-43.344345
718.670654	-43.410778
720.016479	-43.358646
721.362305	-43.103260
722.708130	-42.295586
724.053955	-42.388721
725.399780	-41.878292
726.745605	-41.712418
728.091431	-41.289810
729.437256	-41.697014
730.783081	-42.306168
732.128906	-43.096458
733.474731	-42.010117
734.820557	-41.628216
736.166382	-41.990276
737.512207	-42.857574
738.858032	-43.078411
740.203857	-41.905872
741.549683	-42.071632
742.895508	-41.854561
744.241333	-42.212177
745.587158	-43.527496
746.932983	-42.491062
748.278809	-41.795418
749.624634	-40.637257
750.970459	-40.926231
752.316284	-42.428074
753.662109	-42.674786
755.007935	-42.829926
756.353760	-42.491055
757.699585	-42.035423
759.045410	-42.175816
760.391235	-42.127583
761.737061	-42.345959
763.082886	-43.026066
764.428711	-41.345440
765.774536	-42.029003
767.120361	-42.923225
768.466187	-41.840122
769.812012	-41.298389
771.157837	-41.674397
772.503662	-42.019566
773.849487	-41.991032
775.195312	-42.179443
776.541138	-41.748981
777.886963	-41.181122
779.232788	-41.655174
780.578613	-42.138180
781.924438	-43.240402
783.270264	-43.413486
784.616089	-42.407883
785.961914	-43.280571
787.307739	-42.715706
788.653564	-43.166298
789.999390	-42.465771
791.345215	-41.894703
792.691040	-41.761612
794.036865	-43.457550
795.382690	-44.055355
796.728516	-42.972488
798.074341	-41.813213
799.420166	-41.076885
800.765991	-40.963970
802.111816	-41.998795
803.457642	-41.601135
804.803467	-41.965206
806.149292	-41.615417
807.495117	-41.294872
808.840942	-41.593781
810.186768	-41.689640
811.532593	-42.373528
812.878418	-43.252396
814.224243	-42.396698
815.570068	-41.697025
816.915894	-41.131935
818.261719	-41.419834
819.607544	-42.073883
820.953369	-42.271683
822.299194	-42.576458
823.645020	-42.222904
824.990845	-41.799042
826.336670	-41.826939
827.682495	-42.881550
829.028320	-42.565617
830.374146	-41.880478
831.719971	-41.544907
833.065796	-42.313736
834.411621	-41.457893
835.757446	-41.803097
837.103271	-42.325340
838.449097	-42.163170
839.794922	-42.012402
841.140747	-42.098156
842.486572	-42.139000
843.832397	-41.680111
845.178223	-42.470268
846.524048	-41.965363
847.869873	-41.376907
849.215698	-40.948799
850.561523	-41.590134
851.907349	-43.359085
853.253174	-43.102638
854.598999	-42.133793
855.944824	-41.472710
857.290649	-42.050686
858.636475	-41.992023
859.982300	-41.710930
861.328125	-41.913345
862.673950	-42.432480
864.019775	-41.913994
865.365601	-42.130611
866.711426	-43.085827
868.057251	-42.867367
869.403076	-43.442436
870.748901	-42.210419
872.094727	-42.590321
873.440552	-42.147339
874.786377	-41.489639
876.132202	-42.397682
877.478027	-43.029560
878.823853	-42.237602
880.169678	-41.067505
881.515503	-41.483498
882.861328	-42.238220
884.207153	-42.748074
885.552979	-42.770439
886.898804	-43.456394
888.244629	-43.067852
889.590454	-42.205791
890.936279	-41.989594
892.282104	-42.391472
893.627930	-42.517536
894.973755	-42.825527
896.319580	-43.817562
897.665405	-42.476326
899.011230	-42.171085
900.357056	-42.917450
